mass (g),year,reclat,reclong
5000,01/01/1819 12:00:00 AM,45.43333,-0.45
100000,1/1/97 0:00,35.5,115.41667
680,01/01/1876 12:00:00 AM,12.85,76.8
32490,1/1/84 0:00,-7.71667,111.2
950,1/1/76 0:00,35.2,118.8
25250,1/1/68 0:00,38.74028,-7.27
91000,01/01/1821 12:00:00 AM,44.71667,4.3
3000,01/01/1857 12:00:00 AM,47.35,21.3
13400,1/1/71 0:00,11.85,8.21667
89,01/01/1822 12:00:00 AM,27.08333,78.33333
230,01/01/1838 12:00:00 AM,27.25,79.96667
1900,1/1/08 0:00,49.86667,30.83333
2000,1/1/80 0:00,15,48.3
200000,1/1/37 0:00,55.43333,53.25
350,01/01/1890 12:00:00 AM,12.38333,78.51667
577,01/01/1858 12:00:00 AM,45.13333,21.66667
950,1/1/51 0:00,-6.83333,29.5
4500,01/01/1879 12:00:00 AM,17.83333,73.98333
2770,1/1/42 0:00,26.03333,81.46667
448,1/1/13 0:00,36.04167,139.95667
1293,01/01/1902 12:00:00 AM,14.18333,75.8
299,1/1/59 0:00,31.6,65.78333
1630,1/1/08 0:00,-7,115.5
400,01/01/1897 12:00:00 AM,32.08333,76.3
11355,1/1/42 0:00,4.7,33.63333
1600,1/1/04 0:00,20.33916,73.22329
3500,1/1/37 0:00,42.45,73.36667
3000,01/01/1840 12:00:00 AM,47.21667,81.01667
2220,1/1/63 0:00,-3.5,35.58333
180,1/1/49 0:00,12.9,7.15
22000,1/1/05 0:00,27.8,67.16667
2950,1/1/55 0:00,31.58333,71.6
41730,1/1/30 0:00,-35.08333,139.91667
710,1/1/38 0:00,35.36667,136.76667
16820,1/1/03 0:00,29.58333,77.58333
1500,1/1/99 0:00,11.33333,10.08333
6800,1/1/06 0:00,25.14333,75.81333
85000,1/1/61 0:00,39.26333,31.78
3300,1/1/40 0:00,-7.75,112.01667
5760,1/1/08 0:00,36.54194,29.41822
6937,1/1/39 0:00,29.45,-96
6669.2,1/1/03 0:00,20.4625,86.70278
5000,01/01/1874 12:00:00 AM,48.4,-3.3
80000,01/01/1869 12:00:00 AM,48.11667,-3.08333
135000,01/01/1850 12:00:00 AM,38.98333,141.61667
13600,01/01/1873 12:00:00 AM,29.53333,72.3
3698,1/1/32 0:00,25.55,83.11667
1500,01/01/1787 12:00:00 AM,50.625,35.075
450,01/01/1860 12:00:00 AM,26.95,77.88333
100,01/01/1867 12:00:00 AM,28.01667,75.81667
6109,1/1/29 0:00,56.75,75.33333
9700,1/1/10 0:00,25.1,81.53333
3200,1/1/32 0:00,16,36
100000,1/1/83 0:00,14,28
737.6,1/1/62 0:00,54.4,10.15
1500,1/1/70 0:00,16.58333,-11.33333
331,1/1/06 0:00,36.85,138.38333
195,01/01/1809 12:00:00 AM,55,34
19000,1/1/02 0:00,12.76667,9.8
772,1/1/11 0:00,43.58333,-89.6
140,01/01/1844 12:00:00 AM,54.66667,-7.66667
67.4,1/1/67 0:00,11.63333,24.68333
97.7,1/1/06 0:00,30.75,-95.95
1550,1/1/14 0:00,48.16667,22.30833
202.6,1/1/98 0:00,43.38333,-80.38333
3250,01/01/1843 12:00:00 AM,51.6,10.8
500000,01/01/1866 12:00:00 AM,48.9,22.4
136,1/1/99 0:00,34.73333,135.16667
11510,1/1/86 0:00,34.3,133.95
238,1/1/26 0:00,35.73333,139.75
90,1/1/31 0:00,42.51667,26.16667
4300,1/1/10 0:00,48.76367,21.17633
16500,01/01/1869 12:00:00 AM,49.32694,7.46472
2440,01/01/1829 12:00:00 AM,54.03333,40.9
4000,1/1/46 0:00,54.33333,56.08333
845.2,1/1/06 0:00,56.8,77
50000,1/1/46 0:00,47.83333,30.76667
2250,1/1/38 0:00,51.15,31.7
453.6,1/1/61 0:00,30.73111,66.80222
6000,01/01/1811 12:00:00 AM,50.75,33.5
